frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.019309,0.011037,0.011321,0.015288,0.013781,0.009923,0.034108,0.036728,0.014579,0.001359,0.039683,0.192892,0.739897,0.133682,0.046021,0.326758,0.076613,0.062744,0.013210,0.087102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.004552,0.002404,0.003218,0.002939,0.007589,0.001358,0.003072,0.002999,0.004007,0.005000,0.011661,0.000502,0.000122,0.000055,0.001365,0.005599,0.007358,0.006159,0.000540,0.000257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.003438,0.001583,0.002700,0.001718,0.001565,0.005879,0.004212,0.001392,0.000989,0.001992,0.026058,0.001186,0.001324,0.000837,0.016703,0.081499,0.194741,0.014297,0.012123,0.014353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.017870,0.007314,0.006983,0.005520,0.005453,0.038915,0.060373,0.025400,0.023185,0.024569,0.041630,0.012764,0.035789,0.028593,0.090967,0.039746,0.027640,0.059732,0.025016,0.086735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.039457,0.017042,0.016463,0.014261,0.013162,0.065004,0.096726,0.064534,0.047307,0.064992,0.192785,0.027929,0.030281,0.051289,0.299497,0.018930,0.069030,0.030416,0.023402,0.018701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.001990,0.000602,0.000750,0.000879,0.000921,0.002264,0.003089,0.002747,0.000983,0.000630,0.002163,0.001115,0.000870,0.000593,0.000527,0.000840,0.000737,0.000299,0.000106,0.000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.012258,0.005749,0.005612,0.006626,0.009099,0.006621,0.024073,0.014716,0.008731,0.005039,0.012182,0.006402,0.023923,0.002333,0.018218,0.001559,0.000907,0.003199,0.000323,0.001543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.001033,0.000331,0.000394,0.000442,0.001016,0.020116,0.052895,0.031647,0.033150,0.010181,0.071368,0.083756,0.305774,0.042002,0.028673,0.038039,0.015742,0.018047,0.001751,0.012770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.007294,0.003597,0.004130,0.003547,0.003342,0.016256,0.040378,0.063259,0.022525,0.005013,0.009160,0.054931,0.372212,0.128148,0.017785,0.113220,0.145899,0.044378,0.026296,0.075962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.000042,0.000017,0.000028,0.000015,0.000065,0.000031,0.000022,0.000008,0.000011,0.000031,0.000083,0.000006,0.000001,0.000000,0.000002,0.000504,0.000923,0.000252,0.000457,0.000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000133,0.000063,0.000110,0.000058,0.000108,0.000456,0.000219,0.000028,0.000013,0.000032,0.001323,0.000030,0.000004,0.000001,0.000016,0.000400,0.002773,0.000203,0.000115,0.000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0003.png,scene08,off,off,0.001643,0.000338,0.000429,0.000256,0.000535,0.005109,0.006620,0.001844,0.001145,0.002316,0.052875,0.019983,0.006485,0.008174,0.010385,0.096023,0.077201,0.123706,0.052459,0.070094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0004.png,scene08,off,off,0.009437,0.002686,0.003136,0.002194,0.003373,0.032518,0.026838,0.026873,0.023092,0.026302,0.029427,0.009230,0.013948,0.029335,0.124861,0.004338,0.066993,0.028451,0.026238,0.005595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0005.png,scene08,off,off,0.001024,0.000311,0.000458,0.000395,0.000581,0.002900,0.002315,0.001139,0.000342,0.000403,0.003712,0.000920,0.000275,0.000093,0.000183,0.000867,0.001763,0.000495,0.000304,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0006.png,scene08,off,off,0.000084,0.000040,0.000051,0.000036,0.000069,0.000149,0.000129,0.000064,0.000024,0.000034,0.000054,0.000055,0.000011,0.000003,0.000008,0.000163,0.000621,0.000365,0.000088,0.000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0007.png,scene08,off,off,0.000357,0.000355,0.000411,0.000351,0.000492,0.005188,0.008100,0.002730,0.000697,0.000313,0.002708,0.004171,0.003808,0.000176,0.000022,0.004944,0.008602,0.003927,0.000302,0.000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0000.png,scene08,off,off,0.028541,0.017966,0.019775,0.021158,0.012571,0.038059,0.079923,0.090421,0.023553,0.002874,0.080439,0.127830,0.439271,0.115052,0.040699,0.266395,0.080580,0.060224,0.036199,0.097622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0001.png,scene08,off,off,0.000509,0.000220,0.000442,0.000280,0.001045,0.000295,0.000365,0.000254,0.000373,0.000651,0.001794,0.000091,0.000023,0.000006,0.000073,0.003638,0.006073,0.003194,0.001017,0.000185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0002.png,scene08,off,off,0.002009,0.000620,0.001091,0.000797,0.001038,0.003337,0.004273,0.001203,0.000538,0.000849,0.009003,0.000642,0.000225,0.000083,0.000445,0.000350,0.002447,0.000591,0.000134,0.000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
